name,conference_link,description,location,deadline,date,notification,subformat_details
QEST,https://www.qest-formats.org/,Quantitative Evaluation of SysTems,"Calgary, Canada",10/15 April 2024,9-13 September 2024,31 May 2024,"LNCS, 14 pages regular, 7 pages short, both excluding references; 4 pages work in progress"
FORMATS,https://www.qest-formats.org/,Formal Modeling and Analysis of Timed Systems,"Calgary, Canada",10/15 April 2024,9-13 September 2024,31 May 2024,"LNCS, 14 pages regular, 7 pages short, both excluding references; 4 pages work in progress"
HALG,https://halg2024.ideas-ncbr.pl/,Highlights of Algorithms,"Warsaw, Poland",11 April 2024,3-5 June 2024,,
DCFS,https://sites.google.com/scu.edu/dcfs24/,Descriptional Complexity of Formal Systems,"Santa Clara, California, USA",12 April 2024,25-27 June 2024,26 April 2024,"LNCS, 12 pages"
AUTOMATA,https://automata2024.webspace.durham.ac.uk/,Cellular Automata and Discrete Complex Systems,"Durham, United Kingdom",12 April 2024,22-24 July 2024,3 May 2024,"LNCS, 12 pages full, 8 pages exploratory, 4 pages extended abstracts"
CILC,https://cilc2024.github.io/,Italian Conference on Computational Logic,"Rome, Italy",12 April 2024,26-28 June 2024,22 May 2024,"CEURART, 15 pages full, 8 pages short"
SC2,http://www.sc-square.org/CSA/workshop9.html,Satisfiability Checking and Symbolic Computation,"Nancy, France",12 April 20243 May 2024,2 July 2024,17 May 2024,"CEUR-WG, 16 pages full, 4 pages extended abstracts, both excluding references, 2 pages presentation only; second deadline for ISSAC Fast-Track; co-located with IJCAR"
CCS,https://www.sigsac.org/ccs/CCS2024/,Computer and Communication Security,"Salt Lake City, Utah, USA",14 April 2024,14-18 October 2024,,"ACM, 12 pages excluding references"
SmartData,https://ieee-cybermatics.org/2024/smartdata/,Smart Data,"Copenhagen, Denmark",15 April 2024,19-22 August 2024,20 May 2024,"IEEE Transactions, 8 pages regular, 6 pages workshop"
WADT,https://conf.researchr.org/home/wadt-2024,Workshop on Algebraic Development Techniques,"Enschede, The Netherlands",15 April 2024,during STAF,29 April 2024,post-proceedings
FM,https://www.fm24.polimi.it/,Formal Methods,"Milan, Italy",15/19 April 2024,9-13 September 2024,10 June 2024,"LNCS, 15 pages regular, tool, and case study; 6 pages demonstration, 22 pages tutorial, all excluding references"
ARQNL,http://iltp.de/ARQNL-2024/,Automated Reasoning in Quantified Non-Classical Logics,"Nancy, France",15/22 April 2024,2 July 2024,3 June 2024,"CEUR-WS,15 pages full, 8 pages short, 2 pages abstracts, all excluding references; co-located with IJCAR"
ThEdu,https://www.uc.pt/en/congressos/thedu/ThEdu24/,Theorem proving components for Educational software,"Nancy, France",17 April 2024,2 July 2024,8 May 2024,"own format, 10 pages; co-located with IJCAR"
UNIF,https://lat.inf.tu-dresden.de/unif2024/,Workshop on Unification,"Nancy, France",18 April 2024,2 July 2024,23 May 2024,"EPiC, 5 pages; co-located with IJCAR"
CP,https://cp2024.a4cp.org/,Principles and Practice of Constraint Programming,"Girona, Catalonia, Spain",18/23 April 2024,2-6 September 2024,20 June 2024,"LIPIcs, 15 pages full, 8 pages short, both excluding references"
CIAA,http://www.math.akita-u.ac.jp/ciaa2024/,Conference on Implementation and Application of Automata,"Akita, Japan",19 April 2023,3-6 September 2024,24 May 2023,"LNCS, 12 pages"
ICICS,https://icics2024.aegean.gr/,International Conference on Information and Communications Security,"Mytilene, Lesvos, Greece",19 April 2024,26-28 August 2024,24 June 2024,"LNCS, 20 pages"
ECAI,https://www.ecai2024.eu/,European Conference on Artificial Intelligence,"Santiago de Compostela, Spain",19/25 April 2024,19-24 October 2024,4 July 2024,"own format, 7 pages + 1 page references"
PAAR,https://paar2024.github.io/,Practical Aspects of Automated Reasoning,"Nancy, France",19/26 April 2024,2 July 2024,1 June 2024,"CEURART, 15 pages regular, 8 pages extended abstracts; co-located with IJCAR"
ESA,https://algo-conference.org/2024/esa/,European Symposium on Algorithms,"Egham, United Kingdom",22 April 2024,2-4 September 2024,23 June 2024,"LIPIcs, double-blind, 12 pages excluding front matter and references; part of ALGO"
LOD,https://lod2024.icas.events/,"Machine Learning, Optimization, Data Science","Castiglione della Pescaia, Italy",23 April 2024,22-25 September 2024,23 May 2024,"LNCS, 15 pages long, 11 pages short"
SCN,http://scn.unisa.it,Security and Cryptography for Networks,"Amalfi (SA), Italy",24 April 2024,11-13 September 2024,24 June 2024,"LNCS, 20 pages excluding references"
KR,https://kr.org/KR2024/,Principles of Knowledge Representation and Reasoning,"Hanoi, Vietnam",24 April / 1 May 2024,2-8 November 2024,10 July 2024,"own format, 9 pages regular, 4 pages short, both excluding references; co-located with NMR"
FMICS,https://fmics.inria.fr/2024/,Formal Methods for Industrial Critical Systems,"Milan, Italy",25 April / 1 May 2024,9-11 September 2024,10 June 2024,"LNCS, 15 pages excluding references; co-located with FM"
MFCS,http://www.mfcs.sk/,Mathematical Foundations of Computer Science,"Bratislava, Slovakia",26 April 2024,26-30 August 2024,24 June 2024,"LIPIcs, 12 pages excluding references"
FMCAD,https://fmcad.org/FMCAD24/,Formal Methods in Computer-Aided Design,"Prague, Czech Republic",28 April / 5 May 2024,14-18 October 2024,8 July 2024,"own format, 8 pages long, 4 pages short, both excluding references"
ICLP,https://www.iclp24.utdallas.edu/,International Conference on Logic Programming,"Dallas, Texas, USA",29 April / 6 May 20248 July 2024,11-17 October 2024,19 June 202422 July 2024,"TPLP, 14 pages regular;EPTCS, 7 pages short, 3 pages recently published, 3 pages system demonstrations, 3 pages birds of a feather"
MATCH-UP,https://www.dcs.gla.ac.uk/research/algorithms/MATCHUP2024/,Matching Under Preferences,"Oxford, United Kingdom",1 May 2024,9-11 September 2024,1 July 2024,12 pages A4
QUANTIFY,https://qbf24.pages.sai.jku.at/quantify/,Workshop on Quantification,"Nancy, France",1 May 2024,1 July 2024,21 May 2024,"LNCS, 15 pages full and tutorial, 2 pages talk abstracts, all excluding references; co-located with IJCAR"
DSAA,https://dsaa2024.dsaa.co/,Data Science and Advanced Analytics,"San Diego, California, USA",2 May 2024,6-10 October 2024,24 July 2024,"IEEE, 2 columns, 10 pages"
LOPSTR,https://lopstr.github.io/2024/,Logic-Based Program Synthesis and Transformation,"Milan, Italy",6/10 May 2024,9-11 September 2024,26 June 2024,"LNCS,15 pages regular, 8 pages short, both excluding references; co-located with FM and PPDP"
PPDP,https://ppdp2024.github.io/,Principles and Practice of Declarative Programming,"Milan, Italy",6/13 May 2024,9-11 September 2024,3 July 2024,"ACM, 2 column, 12 pages excluding references regular, 10 pages system descriptions, 5 pages including references experience reports; co-located with FM and LOPSTR"
DISC,https://www.disc-conference.org/wp/disc2024/,Distributed Computing,"Madrid, Spain",7/14 May 2024,28 October - 1 November 2024,2 August 2024,"LIPIcs, double-blind, no page limit, but only first 15 pages read, 15 pages excluding references in proceedings"
TAP,https://tapconference.github.io/2024/,Tests and Proofs,"Milan, Italy",8/15 May 2024,9–10 September 2024,26 June 2024,"LNCS, 16 pages regular + tools + case studies, 6 pages short, all excluding references; co-located with FM"
FACS,https://facs-conference.github.io/2024/,Formal Aspects of Component Software,"Milan, Italy",8/15 May 2024,9-10 September 2024,26 June 2024,"LNCS, 16 pages full, 6 pages short, 16 pages special tract, all excluding references; co-located with FM"
ADT,https://preflib.github.io/adt2024/,Algorithmic Decision Theory,"Piscataway, New Jersey, USA",10/17 May 2024,14-16 October 2024,19 July 2024,"LNCS, 15 pages"
PoS,http://www.pragmaticsofsat.org/2024/,Pragmatics of SAT,"Pune, India",13/18 May 202427 May 20245 June 2024,20 August 2024,23 June 2023,"CEURART, 1 column, 15 pages long, 8 pages short, both excluding references,8 pages competition solver description; 3rd deadline for SAT fast track, last deadline for competition solver descriptions; satellite event of SAT"
FedCSIS,https://2024.fedcsis.org/,Federated Conference on Computer Science and Information Systems,"Belgrade, Serbia",14 May 2024,8-11 September 2024,18 June 2024,"own format, 12 pages full, 6 pages short, 8 pages communication"
WAIT,https://wait2024.github.io/,Workshop on Automated (Co)Inductive Theorem Proving,"Nancy, France",15 May 2024,2 July 2024,1 June 2024,"EasyChair, 2 pages; co-located with IJCAR"
WABI,https://algo-conference.org/2024/wabi/,Workshop on Algorithms in Bioinformatics,"Egham, United Kingdom",19 May 2024,2-4 September 2024,23 June 2024,"LIPIcs, 15 pages excluding front matter and references; part of ALGO"
SAGT,https://www.cwi.nl/en/groups/networks-and-optimization/events/sagt-2024/,Symposium on Algorithmic Game Theory,"Amsterdam, The Netherlands",21 May 2024,3-6 September 2024,5 July 2024,"LNCS, 18 pages excluding references"
ICTAC,https://ictac2024.cs.ait.ac.th/,International Colloquium on Theoretical Aspects of Computing,"Bangkok, Thailand",14/21 June 2024,25-29 November 2024,1 September 2024,"LNCS, 16 pages excluding references full, 8 pages short and tool"
GD,https://graphdrawing.github.io/gd2024//,Graph Drawing,"Vienna, Austria",31 May / 7 June 2024,18-20 September 2024,20 July 2024,"LIPIcs with own LaTeX class, double-blind, 500 lines regular, 225 lines short, both excluding front matter and references"
LSFA,https://sites.google.com/ufg.br/lsfa2024,Logical and Semantic Frameworks with Applications,"Goiânia, Brazil",31 May / 7 June 2024,18-20 September 2024,,"EPTCS, 16 pages full, 6 pages short"
IOTSMS,https://emergingtechnet.org/IOTSMS2024/,"Internet of Things: Systems, Management and Security","Malmö, Sweden",1 June 2024,2-5 September 2024,15 July 2024,"IEEE, 2 column, 8 pages full regular, 6 pages short, 3 pages posters and demos"
JAF,https://www.uni-passau.de/en/jaf,Journées sur les Arithmétiques Faibles,"Passau, Germany",2 June 2024,9-11 September 2024,2 July 2024,3 pages
iFM,https://ifm2024.cs.manchester.ac.uk/,Integrated Formal Methods,"Manchester, UK",3/10 June 2024,13-15 November 2024,5 August 2024,"LNCS, 16 pages regular, 6 pages short"
SEFM,https://sefm-conference.github.io/2024/,Software Engineering and Formal Methods,"Aveiro, Portugal",7/14 June 2024,4-8 November 2024,15 August 2024,"LNCS, 16 pages excludinge references regular, 8 pages tool"
WISE,https://wise2024-qatar.com/,Web Information Systems Engineering,"Doha, Qatar",20/30 June 2024,2-5 December 2024,30 August 2024,"LNCS, double-blind, 15 pages"
TIME,https://www.lirmm.fr/time2024/,Temporal Representation and Reasoning,"Montpellier, France",21 June 2024,28-30 October 2024,2 August 2024,"LIPIcs, 12 pages excluding references + 5 pages appendix"
LPNMR,https://lpnmr2024.demacs.unical.it/,Logic Programming and Non-Monotonic Reasoning,"Dallas, Texas, USA",21/28 June 2024,11-14 October 2024,28 July 2024,"LNCS, 13 pages long, 6 pages short"
IPEC,https://algo-conference.org/2024/ipec/,International Symposium on Parameterized and Exact Computation,"Egham, United Kingdom",26/30 June 2024,4-6 September 2024,5 August 2024,"LIPIcs, no page limit, but only first 12 pages read; part of ALGO"
ISAAC,https://sites.google.com/view/isaac2024/,International Symposium on Algorithms and Computation,"Sydney, Australia",28 June 2024,8-12 December 2024,2 September 2024,"LIPIcs, double-blind, 12 pages excluding references"
ATMOS,https://algo-conference.org/2024/atmos/,"Algorithmic Approaches for Transportation Modelling, Optimization, and Systems","Egham, United Kingdom",30 June 2024,5-6 September 2024,31 July 2024,"OASIcs, 12 pages excluding references regular, 6 pages short; part of ALGO"
FSTTCS,https://www.fsttcs.org.in/2024/,Foundations of Software Technology and Theoretical Computer Science,"Gandhinagar, Gujarat, India",5 July 2024,16-18 December 2024,16 September 2024,"LIPIcs, 15 pages excluding references"
NMR,https://nmr.krportal.org/2024/,Non-Monotonic Reasoning,"Hanoi, Vietnam",7/12 July 2024,2-4 November 2024,1 September 2024,"CEUR, 10 pages including references full, 3 pages excluding referencesextended abstracts; co-located with KR"
TERMGRAPH,http://termgraph.org.uk/2024/,Computing with Terms and Graphs,post-proceedings,1 August 2024,7 April 2024,15 September 2024,"EPTCS, 16 pages post-proceedings"
KDD,https://kdd2024.kdd.org/,Knowledge Discovery and Data Mining,???,1/8 August 2024,,,
WALCOM,https://tcsuestc.com/walcom2025,International Conference and Workshops on Algorithms and Computation,"Chengdu, China",22 September 2024,28 February - 2 March 2025,8 November 2024,"LNCS, 14 pages"
